AtcoCode	CrsRef	Latitude	Longitude	StationName	StopType	TiplocRef	StationName2	NodeID
9400ZZSYDVS		53.3981958948	-1.4205009556	Arena/Olympic Legacy Park	MET		Arena/Olympic Legacy Park	
9100ARGYLST	AGS	55.8573039361	-4.2506938838	Argyle Street	RLY	ARGYLST	Argyle Street Rail Station	
9100ARISAIG	ARG	56.9125463927	-5.8390776783	Arisaig	RLY	ARISAIG	Arisaig Rail Station	
9100ARLSEY	ARL	52.0260312605	-0.2663197594	Arlesey	RLY	ARLSEY	Arlesey Rail Station	
9400ZZSVARL		52.4167624984	-2.3484181858	Arley (Severn Valleyway)	MET		Arley (Severn Valley Railway)	
9100ARMDALE	ARM	55.8857097578	-3.6954125989	Armadale (W Lothian)	RLY	ARMDALE	Armadale (W Lothian) Rail Station	
9300ARM		57.0645977217	-5.8947432823	Armadale Skye	FER	ARMADLE	Armadale Skye	
9100ARMTHWT	AWT	54.8094651457	-2.772071043	Armathwaite	RLY	ARMTHWT	Armathwaite Rail Station	
9400ZZLUASG		51.6164462218	-0.1330624242	Arnos Grove Underground	MET		Arnos Grove Underground Station	
9100ARNSIDE	ARN	54.202728577	-2.8282414456	Arnside	RLY	ARNSIDE	Arnside Rail Station	
9100ARRAM	ARR	53.8843436798	-0.4265700518	Arram	RLY	ARRAM	Arram Rail Station	
9100ARCHRAT	ART	56.2039707923	-4.7227700406	Arrochar & Tarbet	RLY	ARCHRAT	Arrochar & Tarbet Rail Station	
9400ZZLUASL		51.5586554253	-0.1074571749	Arsenal Underground	MET		Arsenal Underground Station	
9100ARUNDEL	ARU	50.8482148276	-0.5461742177	Arundel	RLY	ARUNDEL	Arundel Rail Station	
9100ASCOT	ACT	51.406243652	-0.6758331694	Ascot	RLY	ASCOT	Ascot Rail Station	
9100ASCTUWD	AUW	51.8673407807	-1.5640526401	Ascott-under-Wychwood	RLY	ASCTUWD	Ascott-under-Wychwood Rail Station	
9100ASHH	ASH	51.2495973163	-0.7128053872	Ash	RLY	ASHH	Ash Rail Station	
9100ASHVALE	AHV	51.2722469404	-0.7216485087	Ash Vale	RLY	ASHVALE	Ash Vale Rail Station	
9100ASHBRYS	ABY	53.4716378104	-2.1944363304	Ashburys	RLY	ASHBRYS	Ashburys Rail Station	
9100ASHCHRC	ASC	51.9989040396	-2.1087599436	Ashchurchfor Tewkesbury	RLY	ASHCHRC	Ashchurchfor Tewkesbury Rail Station	
9400ZZIWASH		50.6962546922	-1.1831368427	Ashey (Isle of Wight Steamway)	MET		Ashey (Isle of Wight Steam Railway)	
9100ASFIELD	ASF	55.8889218096	-4.2492141153	Ashfield	RLY	ASFIELD	Ashfield Rail Station	
9100ASFDMSX	AFS	51.4365071971	-0.4680709159	Ashford (Surrey)	RLY	ASFDMSX	Ashford (Surrey) Rail Station	
		51.1505091	0.8605919	Ashford East Junction (Control)	TP2	ASHFCEJ	Ashford East Junction (Control)	1704806380
9100ASHFKY	AFK	51.1437058572	0.8761973794	Ashford International	RLY	ASHFKY	Ashford International Rail Station	
		51.1505091	0.8605919	Ashford West Junction (Control)	TPL	ASHFCWJ	Ashford West Junction (Control)  1704806380	
9100ASHLEY	ASY	53.3557236598	-2.3414604259	Ashley	RLY	ASHLEY	Ashley Rail Station	
9100ASHD	AHD	51.317873794	-0.3075716855	Ashtead	RLY	ASHD	Ashtead Rail Station	
9400ZZMAAMO		53.4835896369	-2.1219925685	Ashton Moss (Manchester Metrolink)	MET		Ashton Moss (Manchester Metrolink)	
9400ZZMAAWT		53.4902260251	-2.1097282488	Ashton West (Manchester Metrolink)	MET		Ashton West (Manchester Metrolink)	
9100ASHONUL	AHN	53.4912728853	-2.094312271	Ashton-under-Lyne	RLY	ASHONUL	Ashton-under-Lyne Rail Station	
9400ZZMAAUL		53.4903260992	-2.098032873	Ashton-Under-Lyne (Manchester Metrolink)	MET		Ashton-Under-Lyne (Manchester Metrolink)	
9100ASHURST	AHS	51.1286627974	0.1526522032	Ashurst (Kent)	RLY	ASHURST	Ashurst (Kent) Rail Station	
9100ASHUBUS		51.1307050564	0.1584644175	Ashurst (Kent)-Bald Faced Stag PH	BCQ	ASHUBUS	Ashurst (Kent)-Bald Faced Stag PH	
9100LYNDHRD	ANF	50.8898503795	-1.5266306932	Ashurst New Forest	RLY	LYNDHRD	Ashurst New Forest Rail Station	
9100ASHWELC	AWM	52.0307721467	-0.1097888367	Ashwell & Morden	RLY	ASHWELC	Ashwell & Morden Rail Station	
9100ASKAM	ASK	54.1889296381	-3.2045111905	Askam	RLY	ASKAM	Askam Rail Station	
9100ASLCKTN	ALK	52.9515497613	-0.8980975233	Aslockton	RLY	ASLCKTN	Aslockton Rail Station	
9100ASPTRIA	ASP	54.7589561926	-3.3318736025	Aspatria	RLY	ASPTRIA	Aspatria Rail Station	
9100ASPLEYG	APG	52.0212368462	-0.6323344229	Aspley Guise	RLY	ASPLEYG	Aspley Guise Rail Station	
9100ASTON	AST	52.5042306577	-1.871933538	Aston	RLY	ASTON	Aston Rail Station	
		52.5033275	-1.8710858	Aston Signal NS65	TP2	ASTO65	Aston Signal NS65	1587546662
9100ATHRSTN	ATH	52.5789712019	-1.5528113081	Atherstone	RLY	ATHRSTN	Atherstone Rail Station	
9100ATHERTN	ATN	53.5291438805	-2.4789719932	Atherton	RLY	ATHERTN	Atherton Rail Station	
9100ATADALE	ATT	57.3950365598	-5.4555770519	Attadale	RLY	ATADALE	Attadale Rail Station	
9100ATNBRO	ATB	52.9062129534	-1.2314154802	Attenborough	RLY	ATNBRO	Attenborough Rail Station	
9400ZZSYATT		53.3922999717	-1.4299792894	Attercliffe (Sheffield Supertram)	MET		Attercliffe (Sheffield Supertram)	
9100ATTLBON	ATL	52.5145479436	1.0223477457	Attleborough	RLY	ATTLBON	Attleborough Rail Station	
9100ACHILCK	AUK	55.4702732649	-4.2953491872	Auchinleck	RLY	ACHILCK	Auchinleck Rail Station	
9400ZZMAAUD		53.478195906	-2.1310928403	Audenshaw (Manchester Metrolink)	MET		Audenshaw (Manchester Metrolink)	
9100AUDLEYE	AUD	52.0044398396	0.2073056908	Audley End	RLY	AUDLEYE	Audley End Rail Station	
9100AGHTNPH	AUG	53.5542474163	-2.8952208145	Aughton Park	RLY	AGHTNPH	Aughton Park Rail Station	
9400ZZCRAVE		51.4068000884	-0.0494755915	Avenue Road Tram Stop	MET		Avenue Road Tram Stop	
9100AVIEMRE	AVM	57.1885118014	-3.8288671784	Aviemore	RLY	AVIEMRE	Aviemore Rail Station	
9400ZZSPAVM		57.1885253581	-3.8285534324	Aviemore (Strathspeyway)	MET		Aviemore (Strathspey Railway)	
9100AVIGVIL		51.0739982634	1.3942735903	Avignon Central	RLY		Avignon Central Rail Station	
9100AVNCLFF	AVF	51.3396508457	-2.2813252787	Avoncliff	RLY	AVNCLFF	Avoncliff Rail Station	
9100AVONMTH	AVN	51.5003621551	-2.6994661083	Avonmouth	RLY	AVONMTH	Avonmouth Rail Station	
9100AXMNSTR	AXM	50.779271201	-3.0047230973	Axminster	RLY	AXMNSTR	Axminster Rail Station	
9100AYLSBRY	AYS	51.8138905792	-0.8150959054	Aylesbury	RLY	AYLSBRY	Aylesbury Rail Station	
9100AYLSPWY	AVP	51.8311590182	-0.8601823423	Aylesbury Vale Parkway	RLY	AYLSPWY	Aylesbury Vale Parkway Rail Station	
9100AYLESFD	AYL	51.301317844	0.4661706836	Aylesford	RLY	AYLESFD	Aylesford Rail Station	
9100ALSHAM	AYH	51.2272542965	1.2094529054	Aylesham	RLY	ALSHAM	Aylesham Rail Station	
9400ZZBVAYL		52.7913298951	1.2548818877	Aylsham (Bure Valleyway)	MET		Aylsham (Bure Valley Railway)	
9100AYRR	AYR	55.4581420262	-4.6258756147	Ayr	RLY	AYRR	Ayr Rail Station	
9100BACHE	BAC	53.2087856624	-2.8916700458	Bache	RLY	BACHE	Bache Rail Station	
9100BGLAN	BAJ	51.6155407515	-3.8111357545	Baglan	RLY	BGLAN	Baglan Rail Station	
9100BAGSHOT	BAG	51.3643675197	-0.6886619109	Bagshot	RLY	BAGSHOT	Bagshot Rail Station	
9400ZZMABAG		53.3965182873	-2.2925207075	Baguley (Manchester Metrolink)	MET		Baguley (Manchester Metrolink)	
9100BAILDON	BLD	53.8502242891	-1.753636189	Baildon	RLY	BAILDON	Baildon Rail Station	
9100BALISTN	BIO	55.8445009924	-4.1136984001	Baillieston	RLY	BALISTN	Baillieston Rail Station	
9400ZZLUBST		51.5228828321	-0.1571303631	Baker Street Underground	MET		Baker Street Underground Station	
9400ZZBLBAL		52.9016131395	-3.5926594708	Bala (Bala Lakeway)	MET		Bala (Bala Lake Railway)	
9100BALCOMB	BAB	51.0555216567	-0.1369336777	Balcombe	RLY	BALCOMB	Balcombe Rail Station	
9100BALDOCK	BDK	51.9928712094	-0.1875636737	Baldock	RLY	BALDOCK	Baldock Rail Station	
9400ZZEDBAL		55.9381190382	-3.2522116593	Balgreen (Edinburgh Trams)	MET		Balgreen (Edinburgh Trams)	
9100BALHAM	BAL	51.4432248729	-0.1524244158	Balham	RLY	BALHAM	Balham Rail Station	
9400ZZLUBLM		51.4432878591	-0.1529974723	Balham Underground	MET		Balham Underground Station	
9100BALLOCH	BHC	56.0029336726	-4.5834854062	Balloch	RLY	BALLOCH	Balloch Rail Station	
9100BALMOSS	BSI	56.4745656131	-2.8389557758	Balmossie	RLY	BALMOSS	Balmossie Rail Station	
9100BMBRBDG	BMB	53.726866512	-2.6607749777	Bamber Bridge	RLY	BMBRBDG	Bamber Bridge Rail Station	
9100BAMFORD	BAM	53.3389997458	-1.6890817262	Bamford	RLY	BAMFORD	Bamford Rail Station	
9400ZZSYBAM		53.3988923033	-1.4925760891	Bamforth Street (Sheffield Supertram)	MET		Bamforth Street (Sheffield Supertram)	
9100BANAVIE	BNV	56.8433082672	-5.0954255853	Banavie	RLY	BANAVIE	Banavie Rail Station	
9100BNBR	BAN	52.0603081824	-1.3281327569	Banbury	RLY	BNBR	Banbury Rail Station	
		52.0570529	-1.3228179	Banbury Depot Junction	TPL	BNBRDJ	Banbury Depot Junction  3069996460	
		52.0581914	-1.3248727	Banbury Depot Reception	TP2	BNBRDR	Banbury Depot Reception	1836759777
		52.0634056	-1.3297632	Banbury North Junction	TP2	BNBRNJ	Banbury North Junction	1891848908
3600SOB20246		51.2055432123	-3.4777303955	Bancks Street, Minehead	BCT	MINEBAN	Bancks Street, Minehead	
9100BANGOR	BNG	53.2222825723	-4.1358799319	Bangor (Gwynedd)	RLY	BANGOR	Bangor (Gwynedd) Rail Station	
9400ZZDLBNK		51.5132328036	-0.0885148771	Bank DLR	MET		Bank DLR Station	
9400ZZTWBKF		55.0140211027	-1.6780989376	Bank Foot (Tyne and Wear Metro)	MET		Bank Foot (Tyne and Wear Metro Station)	
9100BNKHALL	BAH	53.4374933647	-2.9875114015	Bank Hall	RLY	BNKHALL	Bank Hall Rail Station	
9400ZZLUBNK		51.5134198079	-0.0889538266	Bank Underground	MET		Bank Underground Station	
